epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1480.29,1.54867,0.95357,1.35623,0.84006,0.85075,0.91556,0.52523,1.43296,0.88736,1.37044,0.0091882,0.0091882,0.0091882
43,1515.16,1.55415,0.95861,1.34673,0.86608,0.87662,0.93214,0.56357,1.36045,0.77663,1.33576,0.0091684,0.0091684,0.0091684
44,1551.68,1.54573,0.94154,1.34022,0.84546,0.86567,0.9191,0.53035,1.44917,0.81487,1.38332,0.0091486,0.0091486,0.0091486
45,1587.8,1.53478,0.94866,1.3376,0.83148,0.86897,0.92115,0.55051,1.39294,0.8075,1.34393,0.0091288,0.0091288,0.0091288
46,1622.99,1.51944,0.94703,1.35274,0.80516,0.90647,0.92328,0.55182,1.39378,0.82494,1.33903,0.009109,0.009109,0.009109
47,1657.81,1.54804,0.93235,1.35443,0.85835,0.88031,0.93947,0.54658,1.44649,0.81168,1.38135,0.0090892,0.0090892,0.0090892
48,1692.08,1.53427,0.92979,1.35579,0.83211,0.89353,0.92253,0.54021,1.42857,0.8408,1.36354,0.0090694,0.0090694,0.0090694
49,1727.24,1.53933,0.9377,1.34987,0.8383,0.89453,0.92201,0.55156,1.38429,0.80769,1.336,0.0090496,0.0090496,0.0090496
50,1761.96,1.5249,0.93088,1.34151,0.84227,0.88205,0.92183,0.54484,1.4105,0.80497,1.35758,0.0090298,0.0090298,0.0090298
51,1797.52,1.5279,0.93825,1.33655,0.83956,0.87994,0.92435,0.5508,1.40486,0.83001,1.34359,0.00901,0.00901,0.00901
52,1833.06,1.52637,0.93909,1.33798,0.83439,0.88358,0.9197,0.55078,1.37041,0.91457,1.33589,0.0089902,0.0089902,0.0089902
53,1868.67,1.51823,0.91336,1.32418,0.85314,0.88436,0.93347,0.56098,1.38142,0.79249,1.33164,0.0089704,0.0089704,0.0089704
54,1905.39,1.51503,0.92155,1.33991,0.86614,0.88203,0.93392,0.56706,1.35752,0.78586,1.32196,0.0089506,0.0089506,0.0089506
55,1940.76,1.51487,0.91426,1.3391,0.82688,0.90777,0.92931,0.54206,1.40281,0.81587,1.36589,0.0089308,0.0089308,0.0089308
56,1976.44,1.51637,0.91832,1.33306,0.83825,0.87164,0.92898,0.55683,1.38728,0.81082,1.33274,0.008911,0.008911,0.008911
57,2010.76,1.51544,0.90962,1.33312,0.85974,0.87065,0.93538,0.56285,1.36398,0.79926,1.32664,0.0088912,0.0088912,0.0088912
58,2045.46,1.50124,0.91185,1.32247,0.83501,0.88856,0.93066,0.56232,1.37693,0.77269,1.33771,0.0088714,0.0088714,0.0088714
59,2078.5,1.48982,0.88407,1.3161,0.84246,0.90249,0.93402,0.57368,1.35038,0.74344,1.31496,0.0088516,0.0088516,0.0088516
60,2111.95,1.49161,0.89738,1.31882,0.84703,0.89055,0.93113,0.56564,1.37438,0.81846,1.33173,0.0088318,0.0088318,0.0088318
61,2146.55,1.46134,0.87059,1.30746,0.821,0.92836,0.93588,0.56789,1.35717,0.78374,1.32086,0.008812,0.008812,0.008812
62,2181.41,1.48038,0.88744,1.32093,0.85952,0.89453,0.94136,0.55077,1.40037,0.79771,1.35355,0.0087922,0.0087922,0.0087922
63,2214.36,1.47252,0.88863,1.32679,0.84749,0.9068,0.92838,0.55343,1.39579,0.77714,1.34231,0.0087724,0.0087724,0.0087724
64,2247.76,1.4824,0.8665,1.32177,0.84882,0.89652,0.93435,0.56101,1.37686,0.74269,1.32496,0.0087526,0.0087526,0.0087526
65,2284.36,1.46969,0.88127,1.29737,0.86098,0.89352,0.93334,0.56939,1.35509,0.77574,1.31611,0.0087328,0.0087328,0.0087328
66,2320.4,1.46619,0.87092,1.30772,0.85557,0.87164,0.9312,0.54875,1.39906,0.76619,1.35118,0.008713,0.008713,0.008713
67,2355.33,1.4477,0.84523,1.30346,0.84136,0.9341,0.94189,0.57377,1.34378,0.7811,1.3076,0.0086932,0.0086932,0.0086932
68,2391.15,1.46897,0.86799,1.29378,0.85493,0.90302,0.94141,0.57812,1.37512,0.73356,1.32007,0.0086734,0.0086734,0.0086734
69,2423.64,1.46817,0.87055,1.30311,0.85064,0.91236,0.9419,0.57809,1.33246,0.75953,1.30595,0.0086536,0.0086536,0.0086536
70,2458.16,1.46127,0.85593,1.30078,0.84367,0.91824,0.94074,0.56505,1.3721,0.75078,1.32954,0.0086338,0.0086338,0.0086338
71,2493.46,1.45432,0.85821,1.30512,0.82832,0.92176,0.93489,0.55494,1.39752,0.75559,1.34779,0.008614,0.008614,0.008614
72,2529.36,1.45954,0.86099,1.31302,0.84665,0.88448,0.93169,0.55033,1.4073,0.75403,1.3535,0.0085942,0.0085942,0.0085942
73,2564.24,1.46804,0.86155,1.31303,0.86424,0.89312,0.9406,0.58757,1.31764,0.71622,1.29276,0.0085744,0.0085744,0.0085744
74,2597.57,1.4495,0.85343,1.28991,0.85807,0.8903,0.94155,0.58197,1.33239,0.71729,1.29647,0.0085546,0.0085546,0.0085546
75,2632.33,1.46125,0.8496,1.31706,0.85367,0.89851,0.93568,0.57162,1.3422,0.72238,1.31473,0.0085348,0.0085348,0.0085348
76,2667,1.45078,0.84578,1.29249,0.83898,0.91768,0.93182,0.55561,1.38848,0.77185,1.33466,0.008515,0.008515,0.008515
77,2702.41,1.46928,0.86241,1.29675,0.85008,0.89709,0.9379,0.58183,1.33099,0.74957,1.30229,0.0084952,0.0084952,0.0084952
78,2737.76,1.44899,0.85365,1.2775,0.8708,0.89196,0.9467,0.5842,1.33269,0.71472,1.29712,0.0084754,0.0084754,0.0084754
79,2772.4,1.44544,0.83883,1.30845,0.84162,0.90945,0.93672,0.56585,1.35147,0.78932,1.31489,0.0084556,0.0084556,0.0084556
80,2807.47,1.4401,0.84617,1.29538,0.8161,0.90348,0.91178,0.5263,1.43662,0.80061,1.35921,0.0084358,0.0084358,0.0084358
81,2841.54,1.45239,0.85438,1.29467,0.87043,0.91443,0.95089,0.59201,1.31969,0.69128,1.28572,0.008416,0.008416,0.008416
82,2876.88,1.45956,0.85986,1.28607,0.84351,0.90846,0.94449,0.57658,1.33512,0.72528,1.30341,0.0083962,0.0083962,0.0083962
83,2911.69,1.4229,0.82704,1.28662,0.83314,0.92407,0.93722,0.58295,1.3233,0.7072,1.2944,0.0083764,0.0083764,0.0083764
84,2946.79,1.43767,0.82878,1.28548,0.87176,0.89851,0.94238,0.58695,1.3201,0.70242,1.28973,0.0083566,0.0083566,0.0083566
85,2981.63,1.43436,0.84593,1.29428,0.84352,0.92239,0.93958,0.57032,1.34273,0.7394,1.31063,0.0083368,0.0083368,0.0083368
86,3017.54,1.43022,0.82585,1.28553,0.83361,0.92223,0.92349,0.56993,1.33172,0.74419,1.29873,0.008317,0.008317,0.008317
87,3051.75,1.42609,0.83497,1.28465,0.85115,0.89851,0.94237,0.56826,1.34898,0.71842,1.31239,0.0082972,0.0082972,0.0082972
88,3086.91,1.42465,0.82723,1.27764,0.84837,0.91542,0.91031,0.55506,1.30942,0.71138,1.27998,0.0082774,0.0082774,0.0082774
89,3121.54,1.42379,0.81322,1.2819,0.87139,0.90846,0.95038,0.60074,1.31376,0.70066,1.28835,0.0082576,0.0082576,0.0082576
90,3155.28,1.44178,0.8222,1.29255,0.85126,0.93035,0.94952,0.5955,1.29696,0.70261,1.27714,0.0082378,0.0082378,0.0082378
91,3190.02,1.42836,0.82952,1.29062,0.8612,0.92438,0.94911,0.58906,1.31117,0.69714,1.28521,0.008218,0.008218,0.008218
92,3225.55,1.4219,0.81673,1.28231,0.85749,0.92736,0.94884,0.5884,1.3327,0.69951,1.29526,0.0081982,0.0081982,0.0081982
93,3261.42,1.42978,0.82456,1.28183,0.85928,0.91142,0.94316,0.56,1.37808,0.71024,1.32239,0.0081784,0.0081784,0.0081784
94,3297.64,1.40522,0.83373,1.28011,0.88251,0.91186,0.9502,0.59567,1.31035,0.66442,1.28274,0.0081586,0.0081586,0.0081586
95,3334.11,1.42481,0.81641,1.27797,0.84165,0.92338,0.94109,0.58952,1.31875,0.70372,1.29211,0.0081388,0.0081388,0.0081388
96,3369.19,1.41007,0.80338,1.26898,0.86239,0.91542,0.94937,0.59241,1.32389,0.68246,1.29138,0.008119,0.008119,0.008119
97,3403.9,1.39694,0.80112,1.27481,0.85683,0.92537,0.9515,0.60278,1.29921,0.68552,1.27193,0.0080992,0.0080992,0.0080992
98,3438.36,1.39734,0.79929,1.26093,0.8791,0.90437,0.94931,0.59713,1.2954,0.6983,1.27375,0.0080794,0.0080794,0.0080794
99,3472.54,1.40745,0.81144,1.28276,0.86183,0.91244,0.94208,0.5997,1.29007,0.67915,1.2747,0.0080596,0.0080596,0.0080596
100,3504.67,1.40729,0.81052,1.28097,0.8537,0.92239,0.94775,0.59032,1.31356,0.69229,1.28134,0.0080398,0.0080398,0.0080398
101,3540.3,1.40617,0.80049,1.27389,0.85011,0.92239,0.93059,0.57867,1.29724,0.69763,1.27612,0.00802,0.00802,0.00802
102,3574.66,1.40342,0.80868,1.28074,0.85676,0.93433,0.94964,0.59908,1.30282,0.67803,1.27724,0.0080002,0.0080002,0.0080002
103,3609.47,1.39577,0.81273,1.26039,0.86171,0.92736,0.94458,0.58611,1.29961,0.70438,1.273,0.0079804,0.0079804,0.0079804
104,3645.58,1.41376,0.80766,1.27644,0.84571,0.92171,0.94371,0.5872,1.32558,0.70836,1.29046,0.0079606,0.0079606,0.0079606
105,3679.66,1.40669,0.79723,1.27753,0.87305,0.9101,0.9481,0.60591,1.28041,0.66001,1.26205,0.0079408,0.0079408,0.0079408
106,3715.56,1.40778,0.80354,1.27252,0.86056,0.92116,0.951,0.60569,1.28987,0.66731,1.26994,0.007921,0.007921,0.007921
107,3751.88,1.39983,0.79381,1.27707,0.88461,0.90778,0.95005,0.58742,1.32369,0.68066,1.28598,0.0079012,0.0079012,0.0079012
108,3787.41,1.40134,0.79772,1.25523,0.86884,0.91741,0.94836,0.58051,1.33914,0.69798,1.3021,0.0078814,0.0078814,0.0078814
109,3821.77,1.39327,0.79841,1.27643,0.8734,0.91297,0.95191,0.59793,1.30275,0.66608,1.27577,0.0078616,0.0078616,0.0078616
110,3856.81,1.41144,0.79852,1.27395,0.8731,0.91053,0.95232,0.6056,1.2825,0.66029,1.26753,0.0078418,0.0078418,0.0078418
111,3891.37,1.4182,0.80617,1.27207,0.86195,0.92239,0.94665,0.60257,1.28988,0.67987,1.26843,0.007822,0.007822,0.007822
