epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2939.86,1.31818,0.72603,1.1582,0.88419,0.9268,0.96084,0.58917,1.3172,0.68992,1.22293,0.0091882,0.0091882,0.0091882
43,3020.64,1.31187,0.72887,1.16437,0.86298,0.93134,0.95068,0.59971,1.27158,0.7326,1.20073,0.0091684,0.0091684,0.0091684
44,3102.71,1.30713,0.72165,1.17145,0.8768,0.93831,0.96176,0.62839,1.24322,0.61559,1.18767,0.0091486,0.0091486,0.0091486
45,3190.49,1.30681,0.70988,1.15974,0.89053,0.8995,0.95188,0.61196,1.27458,0.65466,1.17823,0.0091288,0.0091288,0.0091288
46,3269.98,1.30536,0.70979,1.16439,0.88416,0.91896,0.95197,0.60182,1.3,0.63788,1.20883,0.009109,0.009109,0.009109
47,3351.8,1.31369,0.71337,1.15872,0.86761,0.92438,0.96061,0.61281,1.27842,0.66355,1.19829,0.0090892,0.0090892,0.0090892
48,3435.45,1.29637,0.70613,1.1577,0.87623,0.93731,0.95382,0.61413,1.23694,0.65867,1.17901,0.0090694,0.0090694,0.0090694
49,3519.52,1.29337,0.7007,1.14926,0.88667,0.9108,0.94674,0.59163,1.30486,0.68578,1.22989,0.0090496,0.0090496,0.0090496
50,3601.83,1.3037,0.70309,1.15132,0.88468,0.93731,0.96362,0.61891,1.2287,0.60881,1.16946,0.0090298,0.0090298,0.0090298
51,3685.14,1.29266,0.69908,1.15268,0.88365,0.94627,0.95886,0.62437,1.21951,0.63454,1.16001,0.00901,0.00901,0.00901
52,3774.54,1.27624,0.70575,1.14578,0.86943,0.94428,0.95891,0.64665,1.20877,0.59722,1.1568,0.0089902,0.0089902,0.0089902
53,3858.05,1.2796,0.69241,1.14856,0.87422,0.93532,0.95707,0.62594,1.24115,0.6152,1.19028,0.0089704,0.0089704,0.0089704
54,3927.52,1.28457,0.69698,1.15575,0.88136,0.94328,0.96268,0.6229,1.23175,0.61171,1.17045,0.0089506,0.0089506,0.0089506
55,3999.56,1.27957,0.68264,1.13921,0.88918,0.94211,0.96598,0.62469,1.27634,0.5961,1.18983,0.0089308,0.0089308,0.0089308
56,4068.77,1.27028,0.66997,1.13878,0.89132,0.93433,0.96048,0.63524,1.21015,0.59831,1.14832,0.008911,0.008911,0.008911
57,4139.26,1.27272,0.69164,1.13183,0.89602,0.93035,0.9682,0.65216,1.21458,0.55679,1.15363,0.0088912,0.0088912,0.0088912
58,4209.81,1.29038,0.68551,1.15682,0.90889,0.90325,0.96504,0.61469,1.29102,0.61672,1.2018,0.0088714,0.0088714,0.0088714
