epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1007.41,2.92452,1.68209,3.35743,0.88909,0.87985,0.94049,0.55592,2.8762,1.20071,3.75411,0.0091882,0.0091882,0.0091882
43,1031.46,2.89655,1.69018,3.34756,0.86028,0.90108,0.93746,0.54965,2.94284,1.2197,3.94094,0.0091684,0.0091684,0.0091684
44,1055.52,2.87368,1.65112,3.29925,0.91441,0.91197,0.95453,0.5576,2.95862,1.14739,3.8515,0.0091486,0.0091486,0.0091486
45,1079.46,2.88327,1.67114,3.33383,0.9059,0.94512,0.96601,0.60353,2.75903,1.08061,3.6046,0.0091288,0.0091288,0.0091288
46,1103.47,2.93609,1.74286,3.36852,0.86844,0.90244,0.92661,0.60464,2.68212,1.09545,3.57282,0.009109,0.009109,0.009109
47,1126.99,2.85032,1.63911,3.29973,0.83448,0.89024,0.91571,0.50574,3.09583,1.26,4.02989,0.0090892,0.0090892,0.0090892
48,1151.08,2.82811,1.6915,3.26664,0.87316,0.9235,0.94878,0.56183,2.85651,1.11324,3.75698,0.0090694,0.0090694,0.0090694
49,1174.83,2.83161,1.66502,3.26526,0.85523,0.93657,0.93037,0.50816,3.10612,1.2423,4.08975,0.0090496,0.0090496,0.0090496
50,1198.62,2.81066,1.57797,3.21903,0.8695,0.92683,0.95882,0.51574,3.0349,1.25947,4.08862,0.0090298,0.0090298,0.0090298
51,1222.32,2.8002,1.60738,3.25788,0.90005,0.93902,0.9593,0.58424,2.73073,1.10307,3.64246,0.00901,0.00901,0.00901
52,1246.01,2.79477,1.67717,3.25561,0.8754,0.89024,0.94796,0.61411,2.67562,1.13994,3.52637,0.0089902,0.0089902,0.0089902
53,1270.58,2.74037,1.67444,3.24033,0.89016,0.93887,0.96414,0.61181,2.65575,1.0149,3.49429,0.0089704,0.0089704,0.0089704
54,1294.2,2.78129,1.62797,3.25479,0.89357,0.92149,0.93117,0.52227,3.13484,1.17145,4.15917,0.0089506,0.0089506,0.0089506
55,1317.78,2.78448,1.62291,3.22866,0.91423,0.90244,0.95405,0.61993,2.55565,1.04882,3.44101,0.0089308,0.0089308,0.0089308
56,1341.93,2.73637,1.57474,3.19649,0.93859,0.9319,0.96937,0.61649,2.68688,1.01486,3.55325,0.008911,0.008911,0.008911
57,1365.42,2.73648,1.58778,3.19855,0.90849,0.90806,0.93802,0.59621,2.60547,1.06877,3.46292,0.0088912,0.0088912,0.0088912
58,1389.23,2.76845,1.65696,3.23024,0.92619,0.90244,0.96329,0.58913,2.78387,1.07007,3.72812,0.0088714,0.0088714,0.0088714
59,1413.15,2.77305,1.61593,3.21265,0.90165,0.97561,0.97859,0.59372,2.71993,1.04877,3.53594,0.0088516,0.0088516,0.0088516
60,1437.01,2.72236,1.5733,3.22925,0.93821,0.92592,0.957,0.61318,2.61911,1.0147,3.50154,0.0088318,0.0088318,0.0088318
61,1460.68,2.70109,1.52553,3.19705,0.95247,0.85535,0.96535,0.58584,2.82025,1.07574,3.73885,0.008812,0.008812,0.008812
62,1484.17,2.66961,1.54758,3.14059,0.89016,0.97561,0.96972,0.63651,2.56933,0.99652,3.42987,0.0087922,0.0087922,0.0087922
63,1508.73,2.69023,1.55961,3.17285,0.9166,0.96341,0.97082,0.60938,2.70036,1.04436,3.58814,0.0087724,0.0087724,0.0087724
64,1532.82,2.6725,1.47622,3.10401,0.89945,0.87271,0.9459,0.59463,2.70823,1.05387,3.61494,0.0087526,0.0087526,0.0087526
