epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1632.19,1.39059,0.77405,1.26473,0.88474,0.91144,0.96163,0.60609,1.29698,0.66639,1.27307,0.0091882,0.0091882,0.0091882
43,1670.75,1.40824,0.77762,1.26138,0.8636,0.91346,0.94843,0.59995,1.30646,0.68104,1.28401,0.0091684,0.0091684,0.0091684
44,1709.96,1.39311,0.77094,1.25399,0.85559,0.91244,0.93949,0.5757,1.32992,0.69493,1.29969,0.0091486,0.0091486,0.0091486
45,1748.58,1.38493,0.77399,1.25785,0.86302,0.92777,0.95169,0.6023,1.28973,0.68617,1.27079,0.0091288,0.0091288,0.0091288
46,1786.29,1.36455,0.77122,1.26239,0.90094,0.89751,0.95979,0.61374,1.28125,0.64226,1.26072,0.009109,0.009109,0.009109
47,1825.35,1.38851,0.75693,1.26245,0.86551,0.9403,0.96045,0.61093,1.28593,0.6541,1.27376,0.0090892,0.0090892,0.0090892
48,1862.83,1.36409,0.75564,1.25796,0.88175,0.91841,0.95436,0.60156,1.28601,0.64906,1.26909,0.0090694,0.0090694,0.0090694
49,1901.34,1.38438,0.76499,1.26364,0.85335,0.93035,0.94722,0.58519,1.31903,0.69657,1.29597,0.0090496,0.0090496,0.0090496
50,1940.2,1.35701,0.75287,1.24473,0.87209,0.90904,0.95612,0.6099,1.28962,0.66495,1.26676,0.0090298,0.0090298,0.0090298
51,1979.37,1.36884,0.7602,1.25032,0.88101,0.90647,0.95364,0.59687,1.29652,0.67052,1.26947,0.00901,0.00901,0.00901
52,2018.33,1.36325,0.77515,1.2476,0.88483,0.92637,0.95803,0.61569,1.26774,0.64428,1.25369,0.0089902,0.0089902,0.0089902
53,2057.69,1.36239,0.74398,1.23436,0.88424,0.92338,0.95642,0.61272,1.29226,0.6349,1.27495,0.0089704,0.0089704,0.0089704
54,2096.56,1.34473,0.7388,1.24768,0.88941,0.91343,0.95874,0.61281,1.28416,0.63076,1.26874,0.0089506,0.0089506,0.0089506
55,2135.54,1.36899,0.74591,1.24985,0.88377,0.91841,0.96151,0.60859,1.28479,0.6459,1.27585,0.0089308,0.0089308,0.0089308
56,2173.37,1.36045,0.75323,1.24678,0.85474,0.92637,0.95629,0.61583,1.2692,0.66569,1.26008,0.008911,0.008911,0.008911
57,2210.7,1.34424,0.73126,1.24088,0.89779,0.91774,0.96109,0.62338,1.25912,0.60937,1.25479,0.0088912,0.0088912,0.0088912
58,2249.62,1.34634,0.73285,1.23579,0.88087,0.89652,0.94717,0.57747,1.34086,0.68833,1.30497,0.0088714,0.0088714,0.0088714
59,2288.58,1.32994,0.72377,1.22876,0.89835,0.91045,0.95704,0.62071,1.26245,0.6303,1.25651,0.0088516,0.0088516,0.0088516
60,2327.43,1.33595,0.71889,1.23162,0.87307,0.91714,0.95328,0.62568,1.24228,0.65232,1.23982,0.0088318,0.0088318,0.0088318
61,2366.81,1.29356,0.7066,1.21667,0.90995,0.88159,0.95369,0.61771,1.28331,0.63103,1.26602,0.008812,0.008812,0.008812
