epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1225,1.87656,1.86806,1.50125,0.75757,0.86751,0.8588,0.50051,1.41561,1.26931,1.17232,0.00330769,0.00330769,0.00330769
2,140.394,1.59308,1.25731,1.22731,0.68417,0.75658,0.70498,0.31536,1.73129,1.84512,1.34441,0.00662788,0.00662788,0.00662788
3,205.929,1.67063,1.32583,1.26948,0.39655,0.28856,0.25376,0.10023,2.4724,2.47769,1.89091,0.00993486,0.00993486,0.00993486
4,262.105,1.72896,1.38981,1.30763,0.51807,0.57114,0.49588,0.23486,1.88678,3.30022,1.53852,0.0099406,0.0099406,0.0099406
5,317.896,1.68635,1.23845,1.29716,0.60698,0.76219,0.68612,0.36729,1.64089,1.7763,1.39223,0.0099208,0.0099208,0.0099208
6,373.375,1.63633,1.17099,1.29716,0.70989,0.75224,0.74737,0.3596,1.75063,1.39444,1.4258,0.009901,0.009901,0.009901
7,428.398,1.64456,1.13778,1.29062,0.69773,0.79701,0.73755,0.38626,1.60906,1.64591,1.37086,0.0098812,0.0098812,0.0098812
8,494.98,1.58392,1.07951,1.27468,0.78755,0.75522,0.8046,0.4278,1.61689,1.30797,1.38414,0.0098614,0.0098614,0.0098614
9,550.006,1.55598,1.02276,1.26308,0.8036,0.81428,0.85211,0.47172,1.58848,1.02809,1.34106,0.0098416,0.0098416,0.0098416
10,627.908,1.55554,1.00659,1.26915,0.78393,0.85274,0.84993,0.49886,1.41772,1.03649,1.24686,0.0098218,0.0098218,0.0098218
11,700.493,1.5123,0.9641,1.24925,0.77072,0.77413,0.83614,0.44464,1.57967,1.46852,1.36127,0.009802,0.009802,0.009802
12,767.372,1.51605,0.9614,1.24058,0.81885,0.81412,0.87055,0.42592,1.70886,0.99065,1.47755,0.0097822,0.0097822,0.0097822
13,832.783,1.52445,0.96508,1.24515,0.85279,0.87618,0.9211,0.53305,1.41067,0.86687,1.23667,0.0097624,0.0097624,0.0097624
14,911.748,1.49165,0.94654,1.23502,0.81657,0.89453,0.91542,0.54611,1.38075,1.12393,1.25159,0.0097426,0.0097426,0.0097426
15,991.059,1.49198,0.92605,1.24392,0.80234,0.90472,0.90294,0.53699,1.38129,0.92091,1.25465,0.0097228,0.0097228,0.0097228
16,1072.02,1.48735,0.90511,1.24314,0.83214,0.91343,0.92394,0.55711,1.36008,0.82028,1.21717,0.009703,0.009703,0.009703
17,1151.53,1.47324,0.88217,1.22325,0.85409,0.90846,0.94023,0.59674,1.30377,0.73207,1.20371,0.0096832,0.0096832,0.0096832
18,1230.62,1.45684,0.86246,1.22087,0.83861,0.89961,0.93825,0.57363,1.3786,0.81005,1.23261,0.0096634,0.0096634,0.0096634
19,1307.92,1.44516,0.86712,1.21829,0.84039,0.86443,0.91988,0.54704,1.39814,0.88618,1.23704,0.0096436,0.0096436,0.0096436
20,1382.76,1.44401,0.85711,1.21427,0.84311,0.85556,0.90029,0.50825,1.4727,0.86124,1.31264,0.0096238,0.0096238,0.0096238
