epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2065.33,1.41031,0.78065,1.27404,0.82614,0.8607,0.89741,0.4872,1.56809,0.93945,1.46067,0.0091882,0.0091882,0.0091882
43,2111.21,1.42954,0.78274,1.27561,0.85005,0.87562,0.91903,0.51902,1.48482,0.85849,1.40449,0.0091684,0.0091684,0.0091684
44,2157.72,1.40447,0.7715,1.26077,0.81649,0.8995,0.90274,0.51361,1.45906,0.82247,1.37603,0.0091486,0.0091486,0.0091486
45,2204.15,1.39558,0.76976,1.2667,0.8689,0.87711,0.93783,0.56405,1.41166,0.73569,1.36098,0.0091288,0.0091288,0.0091288
46,2251,1.37589,0.76702,1.27132,0.82844,0.89849,0.92489,0.54427,1.43889,0.75752,1.34491,0.009109,0.009109,0.009109
47,2297.05,1.38102,0.74432,1.2628,0.87874,0.87662,0.93981,0.58051,1.34533,0.70082,1.31179,0.0090892,0.0090892,0.0090892
48,2343.57,1.3724,0.75726,1.26252,0.82954,0.90064,0.91763,0.56796,1.34865,0.71558,1.30945,0.0090694,0.0090694,0.0090694
49,2390.22,1.38974,0.7479,1.26418,0.83625,0.8995,0.91803,0.55077,1.38744,0.76158,1.32594,0.0090496,0.0090496,0.0090496
50,2437.51,1.35895,0.73754,1.24696,0.79732,0.83764,0.87809,0.43684,1.70146,0.91547,1.54105,0.0090298,0.0090298,0.0090298
51,2484.76,1.38276,0.75094,1.26208,0.85383,0.90088,0.93419,0.58427,1.35832,0.68525,1.3137,0.00901,0.00901,0.00901
52,2532.62,1.37368,0.76342,1.25054,0.81794,0.83149,0.87459,0.50218,1.5338,0.90407,1.4271,0.0089902,0.0089902,0.0089902
53,2585.76,1.37123,0.73823,1.23793,0.80205,0.90448,0.91172,0.53222,1.45215,0.76619,1.37608,0.0089704,0.0089704,0.0089704
54,2632.68,1.34747,0.72527,1.24533,0.8149,0.90647,0.90418,0.50341,1.516,0.90481,1.4438,0.0089506,0.0089506,0.0089506
55,2678.42,1.36119,0.73031,1.24964,0.87767,0.89453,0.94116,0.56054,1.38286,0.73785,1.32376,0.0089308,0.0089308,0.0089308
56,2724.24,1.36621,0.74386,1.24776,0.86475,0.91144,0.93942,0.58751,1.32239,0.67581,1.28433,0.008911,0.008911,0.008911
57,2770.78,1.35333,0.72715,1.24255,0.88424,0.88164,0.9353,0.57409,1.36461,0.70285,1.33017,0.0088912,0.0088912,0.0088912
58,2816.43,1.34103,0.7276,1.23135,0.83435,0.87562,0.90919,0.50174,1.52665,0.77443,1.43817,0.0088714,0.0088714,0.0088714
59,2862.55,1.33437,0.71317,1.23337,0.84715,0.8796,0.92754,0.53971,1.47442,0.74354,1.39418,0.0088516,0.0088516,0.0088516
